Maximum,Membership,Maxed_Value,Generic_Value,Generic_Utlization,Preferred_Value,Preferred_Utilization,Non_Preferred_Value,Non_Preferred_Utilization,Specialty_Value,Specialty_Utilization
0,356572,0,0,0.115369266,0,0.005286147,0,0.005660648,0,0
100,239241,60.17668321,14.61720324,1.047992032,0.623029497,0.019684613,0.601133525,0.017431787,1.72E-03,0.000039295
200,167891,108.4358178,28.37363794,1.701738613,4.134942261,0.05336798,2.302288352,0.035853224,0.00776816,0.000113294
300,139311,150.1102787,40.62834864,2.206542983,9.040418613,0.092578842,4.256988247,0.051846729,0.012764514,0.000230338
400,120776,187.1429859,51.47585823,2.60738785,14.29872173,0.134625233,6.216352756,0.066699818,0.021969808,0.00039176
500,107593,220.7341032,62.15974557,2.974448459,19.64855666,0.177406785,8.000728561,0.079331339,0.030876686,0.000567424
600,97081,251.3285539,70.97613807,3.255734936,25.2063113,0.219827466,9.982225836,0.091581491,0.034078902,0.000568557
700,88895,279.6226626,78.89705138,3.494245757,30.73144316,0.263217124,11.80051483,0.102918677,0.036193494,0.000570651
800,82319,305.9610146,85.9240934,3.697899792,36.78405709,0.311364449,13.67973978,0.114425303,0.043275932,0.000593222
900,76625,330.5838113,92.03820787,3.859992357,43.31029947,0.363732407,15.51575921,0.124942705,0.051357734,0.00061754
1000,71658,353.7611215,98.04072443,4.015401141,50.05833688,0.417452352,17.39897589,0.135836767,0.059184428,0.00069452
1100,67106,375.5139816,103.1811264,4.141010827,57.59667622,0.477497717,19.28794907,0.146605057,0.074066519,0.0007419
1200,62999,396.0114192,108.0881689,4.256624494,65.53614786,0.542064583,21.13966528,0.156833569,0.073786013,0.00074252
1300,59109,415.3213225,112.6297844,4.358810809,73.43932829,0.605845495,23.0549634,0.167494378,0.075928458,0.000741494
1400,55558,433.6098561,117.0446862,4.462196449,80.65779732,0.66248235,24.80503722,0.176422656,0.090105395,0.000839168
1500,52515,450.9197039,120.7659493,4.543333234,87.99160057,0.718947907,26.42724965,0.184525265,0.1039905,0.00086059
1600,49818,467.4114408,124.5045602,4.625150377,95.21228047,0.774704977,28.09390655,0.192697046,0.116212099,0.000911934
1700,47312,483.1090477,128.0421209,4.701662124,102.6200233,0.831169462,29.77779648,0.200889496,0.126879682,0.000934233
1800,44962,498.0492349,131.1220474,4.763711402,109.7013727,0.884963274,31.3499941,0.208165985,0.12613296,0.000929725
1900,42883,512.3296435,134.0797563,4.822425077,116.948316,0.939640547,32.919607,0.215568802,0.131679182,0.000942117
2000,40909,525.9814968,136.9244653,4.877178885,124.3269284,0.992598641,34.37659758,0.222630903,0.144584497,0.000974483
2100,39029,539.0519848,139.6989622,4.932641307,131.4826256,1.043852173,35.8150988,0.22924298,0.148533403,0.000982757
2200,37267,551.5653272,142.2760801,4.982148912,138.3282861,1.092692349,37.24385614,0.235508802,0.162469084,0.00105172
2300,35667,563.5464352,144.6349929,5.029222493,145.4056916,1.144867795,38.79804768,0.242132122,0.172405065,0.001063138
2400,34137,575.0174292,146.6950485,5.067316172,152.255793,1.19460075,40.01030895,0.2479342,0.187036446,0.001085507
2500,32755,586.0872766,148.9489906,5.108818804,158.8140286,1.242785476,41.3259145,0.253822539,0.195240794,0.001108931
2600,31451,596.7021286,150.8861899,5.143593261,165.3544419,1.29033792,42.61177668,0.259241311,0.218735959,0.001130077
