Maximum,membership,maxed_value,er_value,er_utilization,ip_value,ip_admits,primary_care_value,primary_care_utilization,specialist_value,specialist_utilization,mental_health_value,mental_health_utilization,imaging_value,imaging_utilization,speech_value,speech_utilization,occupation_physical_therapy_value,occupation_physical_therapy_utilization,preventive_care_value,preventive_care_utilization,laboratory_value,laboratory_utilization,x_rays_value,x_ray_utilization,skilled_nursing_value,skilled_nursing_utilization,generic_value,generic_utilization,preferred_value,preferred_utilization,non_preferred_value,non_preferred_utilization,specialty_value,specialty_utilization
0,356302,0,0,0,0,0,0,0,0,2.16549E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,1.03509E-05,0,0,0,1.08513E-05,0,0,0,0,0,0
100,300193,83.31356598,0.003545809,6.71756E-05,0.00E+00,0,1.063968006,0.012915573,0.377124883,0.004782047,0.056424481,0.00085746,0.002131348,0.000129036,0,0,0.07435179,0.002374074,1.461122339,0.034280547,0.369761114,0.026716409,0.104109351,0.002728275,0,0,3.852343515,0.265627113,0.166233279,0.004254655,0.227219447,0.005817029,0,0
200,286705,162.8771879,0.069901231,0.000509744,0,0,10.45221403,0.090245757,2.962419702,0.025660518,0.415780256,0.004216133,0.019758648,0.000301797,0.001039056,1.17506E-05,0.361788899,0.010376172,5.194478872,0.095336909,1.689301997,0.106394301,5.03E-01,0.01064771,0,0,7.935250685,0.479143437,1.086230364,0.014178155,0.590816122,0.011067071,0,0
300,269124,238.2882531,0.360839107,0.001764938,0.003573622,1.53439E-05,2.11E+01,0.163030854,6.291568785,0.047381426,0.869750585,0.008522832,0.036654579,0.000392013,0.002762536,3.39894E-05,0.642588908,0.017937157,9.509249232,0.177943571,3.595215891,0.221647386,1.21E+00,0.022688576,0,0,12.39713668,0.694582116,2.467753249,0.026268547,1.144444819,0.016113092,0,0
400,252609,309.9177606,0.74837663,0.003014023,0.00368599,3.29514E-05,3.13E+01,0.231522925,9.473869186,0.067183996,1.383434254,0.013562417,0.064928154,0.000579476,0.005631188,6.33801E-05,1.014611049,0.028075465,14.12371748,0.267246467,6.174293386,0.360578707,2.14E+00,0.036304008,0,0,16.87270374,0.895626572,4.126288005,0.040964963,1.692852828,0.021298732,0,0
500,238144,378.3987198,1.459096128,0.004819628,0.003019416,2.71236E-05,4.09E+01,0.292268804,12.65194093,0.086838789,1.814619358,0.017565509,0.081389256,0.000658633,0.00485224,5.43019E-05,1.38238191,0.037216365,18.95438324,0.356911337,8.786018148,0.488305667,3.23E+00,0.049782111,0,0,21.44410637,1.097183121,5.984044609,0.056189372,2.430137927,0.027121266,0,0
600,225280,443.942845,2.363147254,0.006821217,0.002547319,2.29346E-05,4.98E+01,0.347475758,15.6758025,0.10490198,2.315545129,0.022270689,0.143544897,0.00082557,0.006022612,6.60662E-05,1.983791158,0.05163426,23.96996588,0.441707793,11.42697037,0.608012138,4.46E+00,0.064110604,0,0,26.18528444,1.287152144,8.058465259,0.073607176,3.149328297,0.032622743,0.006377261,0.000212063
700,213844,506.7906674,3.410559426,0.008891071,0.002223988,2.00318E-05,5.84E+01,0.400904118,18.6044383,0.122364748,2.835547021,0.026892912,0.199301107,0.000960323,0.005484362,0.000145975,2.428346257,0.06270096,29.05490213,0.527609859,14.15029576,0.732191569,5.945266871,0.079919169,0,0,30.96878391,1.480715561,10.52899887,0.094129494,3.886164638,0.03757355,0.005795818,0.000190302
800,203427,567.1370971,4.59947538,0.010892072,0.008466152,2.74932E-05,6.59E+01,0.448163203,21.39626222,0.138997012,3.40896215,0.032371707,0.309548906,0.001301571,0.005394511,0.000138146,3.004252632,0.077682854,34.2168036,0.610888273,16.84842788,0.844020078,7.510587496,0.095635196,0,0,35.79048489,1.666343507,13.13125604,0.115925683,4.696481396,0.042895146,0.008200564,0.000196019
900,193974,625.1778039,5.881397748,0.01298161,0.013934446,3.57481E-05,7.28E+01,0.49086979,24.06498529,0.155101828,3.944836623,0.037157828,0.457840907,0.001672213,0.007045164,0.000167517,3.652844324,0.094364907,38.81907962,0.68542531,19.46758609,0.950060844,9.104193374,0.110623104,0,0,40.53817674,1.844346623,15.93690783,0.138325067,5.558034579,0.048683501,0.007739679,0.000181418
