Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization
0,"356,405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"287,173",80.32782702,0.005714914,0.000114045,0,0,3.950351623,0.04932374,1.111513956,0.01456525,0.315491166,0.004428831,0.002673418,0.000115519,0,0,0.100632741,0.00357812,2.730220848,0.065282329,0.763461091,0.061901913,0.18565992,0.004879312,0,0
200,"272,721",154.9723685,0.11266631,0.00079659,0,0,17.95972122,0.170232685,5.523247436,0.051518636,1.135237761,0.013588879,0.020324875,0.000286772,0.000716186,9.18645E-06,0.431529884,0.014237986,7.287738489,0.170703379,3.017654075,0.224447389,0.814219556,0.01825646,0,0
300,"246,842",223.5208761,0.461409308,0.002307523,0.003282559,2.27172E-05,32.5192501,0.282850465,10.22436433,0.086648919,2.064182508,0.024090551,0.045882774,0.000463292,0.003541713,4.97429E-05,0.738709708,0.023786688,13.02657071,0.313170217,6.220752782,0.439606289,1.715347171,0.034834245,0,0
400,"223,849",286.7609759,1.0583507,0.004252097,0.00257339,0.000026278,45.87383244,0.38194724,14.54332932,0.11749577,2.982394074,0.034146334,0.067881777,0.000605625,0.004141036,5.31928E-05,1.160918924,0.036582016,19.36317113,0.459532999,10.02192964,0.668296554,2.997327162,0.054370338,0,0
500,"203,956",345.3844582,1.87458094,0.006377832,0.00210617,2.16109E-05,58.14515683,0.469327453,18.42850685,0.145012131,3.84994339,0.043849788,0.116205263,0.000789955,0.00527632,6.51481E-05,1.7784749,0.054557663,25.65362097,0.596220881,13.82229735,0.872231147,4.451391973,0.074570223,0,0
600,"187,135",400.1161224,3.009687485,0.008945199,0.001793301,1.84222E-05,68.7863414,0.544015952,22.19503534,0.171078259,4.746657051,0.053364259,0.177573151,0.00099189,0.005271003,0.000144402,2.300665459,0.069204125,32.02355567,0.722334804,17.55148961,1.067092326,6.244891896,0.095804486,0,0
700,"172,755",451.3358774,4.286144045,0.011501961,0.006833039,2.73254E-05,77.90050994,0.608275468,25.6037824,0.195174732,5.666264019,0.062702601,0.32004328,0.001460904,0.00644496,0.00014697,2.970090055,0.088088138,38.05567715,0.837874435,21.11567814,1.237561006,8.055649395,0.11587944,0,0.00E+00
800,"160,333",499.5195274,5.704486119,0.014144672,0.015115279,4.00038E-05,85.4459366,0.661436433,28.9761075,0.218153142,6.588236683,0.071980625,0.532225411,0.002130133,0.007556168,0.000171702,3.716920622,0.110138958,43.39375728,0.9364671,24.50345286,1.385846523,10.05869235,0.13620011,0,0.00E+00
900,"149,888",545.240108,7.430157901,0.016928256,0.021678157,4.93371E-05,92.39623846,0.710101221,32.07692222,0.238790273,7.460605299,0.080395471,0.799406211,0.002943452,0.018859149,0.000293749,4.492261098,0.131964507,48.33667085,1.024041808,27.7253105,1.520048637,12.1164851,0.156491539,0,0.00E+00
1000,"140,617",588.6299106,9.329142127,0.019792219,0.036109367,6.78212E-05,98.44674347,0.752755578,35.02762547,0.258754359,8.450416987,0.090172127,1.142516034,0.003828383,0.034219007,0.000472224,5.294012453,0.154548015,53.02924568,1.106119237,30.70549072,1.64653399,14.28367431,0.17625848,0,0.00E+00
1100,"132,407",630.0149429,11.40751703,0.022771228,0.063565565,9.81901E-05,103.5178211,0.78825763,37.81601404,0.277474095,9.194904582,0.09723732,1.583193223,0.004894841,0.04326382,0.000594291,5.971042293,0.173233272,56.90301929,1.174500356,33.43004483,1.752470828,16.59089842,0.196497536,0,0.00E+00
1200,"125,406",669.4710182,13.46090985,0.025576622,0.100071375,0.000135431,107.9842998,0.820686345,40.35076728,0.294299225,9.939260171,0.104323751,2.043682972,0.005973679,0.052699137,0.000717877,6.713418725,0.193074618,60.36553734,1.230632406,35.88079919,1.843537592,18.74157648,0.215040911,0,0.00E+00
1300,"119,209",707.2796784,15.53123407,0.02824797,0.134219613,0.000167241,111.617679,0.84614422,42.8777375,0.311435679,10.62541359,0.110955626,2.562664829,0.007272342,0.071872445,0.000941883,7.643986893,0.21831453,63.62639077,1.281413986,38.19182006,1.928346859,20.83425398,0.232717842,0,0.00E+00
1400,"113,793",743.6502576,17.68678495,0.030818845,0.200024194,0.000229677,115.1312738,0.870997438,45.28237648,0.327592113,11.39533624,0.118012649,3.269169101,0.008866494,0.076165937,0.000989553,8.531532203,0.240943477,66.49013862,1.325414836,40.46356286,2.0079753,22.87787907,0.249470597,0,0.00E+00
1500,"108,799",778.6772985,19.87875792,0.033320983,0.271461726,0.000295395,118.2091186,0.892983166,47.45242146,0.342708414,12.17360044,0.125254933,3.947431966,0.010432435,0.091110749,0.001141643,9.327193536,0.261819063,69.38360829,1.36570218,42.53391508,2.078216569,24.8172327,0.264940306,0,0.00E+00
1600,"104,326",812.2620815,21.86878136,0.035555012,0.348447241,0.000357844,121.0259822,0.91207721,49.5072622,0.35753507,12.91855313,0.131754782,4.800353812,0.012107289,0.103743724,0.001298067,10.19939633,0.284051184,72.07777514,1.403071562,44.49514717,2.143053916,26.93671816,0.281136352,0,0.00E+00
1700,"100,267",845.0813918,24.29341728,0.038115116,0.424948581,0.00041876,123.5655965,0.930541498,51.59281076,0.37225035,13.71561119,0.13894786,5.729292453,0.013803456,0.117001915,0.001444872,11.12633181,0.306663664,74.532612,1.435517316,46.32319795,2.20348796,28.81717178,0.295351092,0,0.00E+00
1800,"96,434",876.5069164,26.36575012,0.040200815,0.529982726,0.000493552,125.8445216,0.946968198,53.30140913,0.383860547,14.46829007,0.145799132,6.769258829,0.015874778,0.133630157,0.001661459,11.9304093,0.325715651,76.99104785,1.463903896,48.08749945,2.256928519,30.63973797,0.308287412,0,0.00E+00
1900,"93,001",907.1119691,28.60532689,0.042347019,0.609758355,0.000553803,127.8561035,0.96144907,55.15288065,0.396591621,15.14268724,0.151437171,7.693663754,0.017697106,0.159664807,0.001893106,12.92591635,0.352417986,79.31509926,1.490935812,49.76285305,2.30805135,32.53852451,0.321873752,0,0.00E+00
2000,"89,853",936.7424354,30.75581619,0.044352075,0.771938633,0.000661165,129.6040947,0.97408192,56.59539071,0.406552247,15.78556996,0.157314385,8.618112683,0.019416508,0.168818881,0.001964585,13.72492691,0.371271625,81.62198689,1.513161383,51.34051368,2.355181846,34.26100021,0.333505853,0,0.00E+00
2100,"86,974",965.725008,33.09397674,0.046403501,0.902747589,0.000748254,131.3243223,0.986451895,58.12360519,0.417229406,16.43550429,0.163061727,9.492242007,0.020946384,0.189532667,0.002184022,14.66666931,0.394859903,83.96988664,1.536221772,52.88849619,2.400617394,35.80474714,0.344472651,0,0.00E+00
2200,"84,196",993.7328156,35.2326674,0.048272888,1.069103999,0.000851736,132.8779571,0.997182085,59.69956803,0.428697785,16.99964314,0.167962177,10.48827441,0.022705333,0.202445298,0.002282119,15.56213133,0.417687582,86.13618092,1.557397527,54.32828834,2.440597572,37.40736687,0.354656599,0,0.00E+00
2300,"81,696",1021.144718,37.50333235,0.050192702,1.295996277,0.000976325,134.371226,1.007724516,61.11530994,0.438483377,17.55084346,0.172666016,11.57792641,0.024433514,0.223037406,0.00254305,16.45693218,0.440169031,88.19102791,1.576264936,55.71343407,2.479107319,39.07255447,0.366033112,0,0.00E+00
2400,"79,302",1047.787007,39.71175938,0.051933,1.502104432,0.001094634,135.8378003,1.018352936,62.52961075,0.448477667,18.08889935,0.177216728,12.71712744,0.026222151,0.237830307,0.002731233,17.20080425,0.456526955,90.31150997,1.594860844,57.20956879,2.516950457,40.62719621,0.375795004,0,0.00E+00
2500,"76,965",1073.793647,41.94616545,0.053602609,1.72718277,0.001224365,136.9961827,1.027353811,63.87668981,0.458251292,18.61990834,0.181713448,13.7043665,0.027905869,0.266059089,0.00304512,18.07309774,0.477091841,92.27601994,1.611680028,58.48505321,2.551884753,42.02672201,0.384578076,0,0.00E+00
2600,"74,858",1099.385527,44.39027275,0.055423909,1.963876238,0.001355971,138.1122675,1.035400034,65.06134784,0.466893336,19.13902469,0.185988903,14.90185145,0.029910137,0.2849572,0.003265863,18.8940507,0.49641136,94.4680853,1.627283114,59.62462902,2.583427681,43.32164238,0.392915748,0,0.00E+00
2700,"72,824",1124.128394,46.55320758,0.057014386,2.249800503,0.001513761,139.2186639,1.043283618,66.18866873,0.475145434,19.60683045,0.189777728,16.11048156,0.031706002,0.309043551,0.003529043,19.67664863,0.515142162,96.45398214,1.642544291,60.81928773,2.614602515,44.71375894,0.401538102,0,0.00E+00
2800,"70,958",1148.257492,48.63144438,0.058439513,2.464317452,0.00163348,140.2865111,1.051503582,67.22935524,0.482941358,20.02312849,0.193540413,17.17245268,0.033463017,0.333273185,0.003831535,20.38756722,0.532790726,98.25486576,1.656279281,61.94621879,2.644488039,46.05741576,0.409264085,0,0.00E+00
2900,"69,245",1171.700296,50.51120079,0.059778239,2.65291681,0.001741262,141.2014301,1.058571964,68.28991488,0.49035283,20.62648301,0.198448161,18.54402319,0.035598077,0.343583122,0.003975119,21.12452527,0.550093575,100.0430056,1.669249391,63.07191257,2.672079147,47.28094175,0.417226479,0,0.00E+00
3000,"67,589",1194.554413,52.29215687,0.061040656,2.824636562,0.001829555,142.1708765,1.065247452,69.37023666,0.498284572,21.0619182,0.202631738,19.92057892,0.03770209,0.371818149,0.004206492,22.03753233,0.571977261,101.86583,1.683078883,64.15230027,2.699670674,48.56511766,0.425140238,0,0.00E+00
3100,"66,000",1217.152079,54.3009201,0.06239014,3.08417659,0.001953313,143.0174283,1.071866478,70.35080836,0.504837008,21.56646516,0.206774778,21.20250272,0.039616938,0.395230568,0.004497919,22.83979727,0.589308177,103.6778799,1.696836802,65.13311284,2.724806419,49.66779758,0.43200988,0,0.00E+00
3200,"64,502",1239.415773,56.4325008,0.063851043,3.308930756,0.002070898,143.8784673,1.078370289,71.33173434,0.511859666,21.99387126,0.210326255,22.50824969,0.041628909,0.423995081,0.00495504,23.44153688,0.60367797,105.2383187,1.708696027,66.16519697,2.749461435,50.8866322,0.439554021,0,0.00E+00
3300,"63,077",1261.133977,58.44181325,0.065190302,3.616410164,0.00221096,144.6273939,1.083935101,72.27249461,0.518545284,22.38286627,0.213466108,23.59565469,0.043379868,0.438306004,0.005075421,24.11553792,0.617901991,106.7808712,1.719853825,67.18909287,2.772037421,52.0267972,0.446817362,0,0.00E+00
3400,"61,690",1282.531208,60.54908903,0.066491067,3.881497156,0.002338999,145.4205445,1.090211293,73.21372341,0.52443797,22.80778161,0.217239543,24.72663903,0.045186723,0.443303941,0.005150922,24.93995508,0.636323901,108.3026082,1.730507254,68.07821958,2.796896018,53.14987288,0.453397878,0,0.00E+00
3500,"60,339",1303.58329,62.70568217,0.067784795,4.109805313,0.002451278,146.0820764,1.094981571,74.07212477,0.530444347,23.29105067,0.221410485,25.79642446,0.046808352,0.454549468,0.005255346,25.78325011,0.654242836,109.828714,1.74159999,69.14733852,2.821346752,54.12432301,0.459293044,0,0.00E+00
3600,"59,080",1324.184301,64.78463973,0.069006355,4.371734074,0.002585951,146.7982413,1.100610492,74.92990369,0.535795101,23.63973725,0.224392405,26.95202046,0.048526927,0.458895357,0.005333285,26.45444795,0.668136546,111.2292447,1.75125597,70.14270679,2.843159726,55.09892216,0.465221149,0,0.00E+00
3700,"57,868",1344.166805,66.58918994,0.070087844,4.728106623,0.002738332,147.4411429,1.105211008,75.68685474,0.541840173,23.97918928,0.227316884,28.17138953,0.050316306,0.485439067,0.005609687,27.10403297,0.682004822,112.6457399,1.75979224,71.04386146,2.8637562,56.08065253,0.470535578,0,0.00E+00
3800,"56,725",1363.57145,68.13076786,0.070993091,5.066679168,0.002893848,148.047289,1.10992272,76.41585287,0.547587206,24.41607502,0.231064627,29.39832177,0.052160578,0.495370346,0.005699123,27.84999661,0.698507425,113.889831,1.767962269,71.92831437,2.883863255,57.01095667,0.476412736,0,0.00E+00
3900,"55,638",1382.904671,69.95492793,0.07195725,5.417198818,0.003046884,148.7001339,1.114632247,77.1630821,0.553357434,25.01966219,0.235663104,30.64348127,0.05404934,0.522812542,0.005960554,28.58360819,0.714551015,115.2759343,1.777899093,72.85542371,2.905039158,58.01613087,0.482869916,0,0.00E+00
4000,"54,510",1401.986051,71.85896795,0.073026179,5.646700993,0.003138649,149.373525,1.119907939,77.93952459,0.558983184,25.42808287,0.239036031,31.92356522,0.05583044,0.567998353,0.00648674,29.27662896,0.729649301,116.3392492,1.785744004,73.72067049,2.926388786,58.82212531,0.487931061,0,0.00E+00
4100,"53,489",1420.484248,73.47713574,0.073885119,5.920937394,0.003263227,149.9654572,1.124436853,78.70232252,0.565003748,25.86342351,0.242630997,33.22350528,0.057636592,0.582429107,0.006615736,30.00687255,0.746419436,117.5627599,1.794114502,74.52102394,2.944213054,59.72031644,0.493600211,0,0.00E+00
4200,"52,475",1438.680261,75.08467159,0.07474202,6.218875419,0.003392813,150.4596247,1.128131885,79.31919202,0.569028367,26.2651452,0.246069239,34.36847377,0.059237418,0.608663795,0.006948857,30.51047498,0.756677431,118.52041,1.801131046,75.19405558,2.958997919,60.64401278,0.498631697,0,0.00E+00
4300,"51,599",1456.499195,76.58121055,0.075439802,6.460000426,0.00349659,151.007799,1.132464549,79.98866349,0.574167975,26.58134818,0.248782869,35.30697017,0.060785262,0.659727102,0.007488729,31.26089192,0.773221954,119.6554503,1.808238992,76.03890531,2.977648049,61.37977084,0.503016879,0,0.00E+00
