Maximum,Membership,Maxed_Value,Generic_Value,Generic_Utlization,Preferred_Value,Preferred_Utilization,Non_Preferred_Value,Non_Preferred_Utilization,Specialty_Value,Specialty_Utilization
0,3886699,0,0,0.000484529,0.00E+00,7.77016E-06,0.00E+00,1.38076E-05,0,0
100,2769754,62.28904957,14.9316585,0.994093227,0.649103994,0.017637287,0.402636795,0.008309792,0.003145807,0.000124561
200,2047615,113.2087654,28.84773488,1.648803126,4.370590268,0.054120602,1.753036629,0.022363807,0.009404207,0.000284671
300,1746518,157.8709242,41.09456293,2.145670772,9.563394578,0.095187178,3.496080063,0.035696926,0.022008473,0.000504797
400,1547821,198.140016,52.42374187,2.560830618,15.16865305,0.138732094,5.239458583,0.047651912,0.035608544,0.000664906
500,1402246,235.0079724,63.32546577,2.922846417,21.08992287,0.184400646,6.977565828,0.058680782,0.05093323,0.000814357
600,1283595,268.950167,72.67526351,3.216177283,27.33897373,0.230263897,8.810003259,0.069057381,0.072755403,0.00095861
700,1188435,300.5461736,80.88886007,3.460691146,33.68860347,0.277310668,10.60159766,0.079156384,0.094549251,0.001074356
800,1110863,330.187042,88.35566374,3.670501827,40.36250003,0.326191398,12.35904411,0.088790887,0.115042729,0.001183066
900,1044150,358.1152949,95.16928748,3.850314842,47.49861928,0.379125871,14.15882239,0.098196733,0.145678646,0.001304577
1000,984685,384.5066304,101.4094422,4.006308932,55.0520265,0.435988152,15.95680825,0.107264659,0.174873237,0.001403257
1100,931182,409.4795679,107.0334205,4.142377427,63.11548802,0.496908314,17.82369442,0.11628596,0.206576741,0.00151303
1200,881880,433.1380381,112.1272441,4.262264764,71.67212493,0.562107649,19.80122593,0.125535596,0.237234603,0.001590059
1300,835831,455.6059919,117.002196,4.371478624,80.5491124,0.629258966,21.63787905,0.13425928,0.264964687,0.001673963
1400,793094,476.9613691,121.5809009,4.47058063,89.35825842,0.694800511,23.42587506,0.142339653,0.290378796,0.001736915
1500,754136,497.3127942,125.9356564,4.563479739,97.96275318,0.756945007,25.26527236,0.15030942,0.318099639,0.001785743
1600,718589,516.7247998,130.0079571,4.646986747,106.5187547,0.81787951,27.07543415,0.157786787,0.359127881,0.001876252
1700,685899,535.2611299,133.7507105,4.721985396,115.076717,0.878930418,28.86756474,0.165105428,0.394907736,0.00193057
1800,655591,553.002725,137.2819958,4.790846626,123.6548825,0.939627644,30.52982034,0.171799622,0.426931679,0.002003524
1900,627553,570.0010891,140.6407191,4.855311592,132.1453343,0.999206296,32.15387977,0.178398625,0.467414282,0.002083899
2000,601294,586.2892387,143.7414074,4.913690679,140.7397305,1.058867209,33.88607739,0.185197901,0.502598278,0.002158934
2100,576328,601.904722,146.6775343,4.967990257,149.5232972,1.119682958,35.5404328,0.191375718,0.536274577,0.002216556
2200,552356,616.8846048,149.438391,5.019311165,158.3404099,1.179612027,37.18246589,0.197423429,0.570335911,0.00227166
2300,529652,631.2509722,151.9758987,5.064638383,166.9700237,1.238294687,38.74974581,0.203368687,0.600029358,0.002326646
2400,508557,645.0781312,154.5908558,5.111396649,175.3901557,1.294927754,40.26814641,0.208949425,0.638235305,0.002376698
2500,488459,658.3631731,157.0274921,5.15356715,184.0175906,1.35252109,41.74221485,0.214295302,0.680051189,0.002431421
2600,469099,671.1332998,159.2749785,5.19340658,191.9805814,1.406106139,43.16950904,0.21940553,0.719423369,0.002472002
2700,451617,683.4365236,161.4145232,5.230775018,200.1111048,1.460190508,44.51120814,0.22426588,0.76337444,0.002532677
2800,434798,695.2869766,163.4061283,5.26484709,208.1270865,1.512073119,45.80967101,0.228847773,0.799584232,0.002586436
2900,419002,706.7154922,165.3256472,5.297554281,216.0839601,1.564088918,47.14423881,0.233533654,0.845206495,0.002638781
3000,403825,717.7309254,167.0985757,5.327196564,224.0606014,1.615409641,48.41164095,0.237949087,0.891134005,0.002700963
3100,389348,728.3626744,168.8472562,5.35756567,231.7378416,1.663702659,49.74503077,0.242521572,0.942632417,0.002757642
3200,375706,738.6207995,170.4520275,5.384874433,239.3482989,1.71188054,51.00546583,0.246837553,0.992781975,0.002818398
3300,362778,748.5272457,171.9774162,5.410604091,246.8392538,1.759326379,52.29385205,0.251133966,1.040079224,0.002866031
3400,350363,758.1074392,173.5008474,5.436369435,254.2355567,1.805427959,53.53730299,0.255262972,1.089053983,0.002920405
3500,338502,767.3584372,174.8803079,5.459830394,261.5865686,1.851000522,54.69620805,0.259058287,1.139868471,0.0029793
3600,327241,776.3044853,176.1711812,5.481078008,268.7095956,1.895569898,55.82355776,0.262794519,1.190451183,0.003026654
3700,316651,784.9670086,177.4537903,5.502360407,275.7247313,1.938733435,56.9519543,0.266484601,1.243071226,0.00307718
3800,306518,793.3454981,178.6134097,5.521481631,282.5703476,1.980922753,58.06585737,0.270031053,1.296184428,0.003147282
3900,296843,801.477844,179.847481,5.541216762,289.1799709,2.021508526,59.21817982,0.273771935,1.352189186,0.003190642
4000,287570,809.344072,180.8949827,5.558089484,295.8363864,2.062412123,60.25895211,0.27713619,1.409289602,0.003247257
4100,278717,816.9788188,181.9545769,5.575421324,302.245496,2.101471398,61.31990158,0.280435708,1.458671645,0.003295622
4200,270290,824.3843095,182.9999157,5.591868919,308.7603386,2.140427559,62.33322877,0.283618125,1.511981325,0.003355798
4300,262064,831.5622523,183.9619028,5.607279441,315.0355568,2.178374444,63.35530107,0.286824211,1.548892783,0.003392376
4400,254272,838.5278573,184.8888976,5.621811218,321.3500399,2.216153123,64.34679513,0.289945705,1.599642596,0.003437479
4500,246683,845.2852604,185.7463136,5.6355757,327.4087894,2.252451656,65.398945,0.293177475,1.662791797,0.003496417
4600,239483,851.8514121,186.6164499,5.649330261,333.3552487,2.287596817,66.36810516,0.296094077,1.71450789,0.003539278
4700,232560,858.2273058,187.4392019,5.661603455,339.3587318,2.323301798,67.3589892,0.299067337,1.751416697,0.003584008
4800,225835,864.4188858,188.2090706,5.673703518,345.190457,2.357258902,68.30335573,0.301883736,1.798844649,0.00363278
4900,219454,870.4384147,188.9975657,5.685924494,351.0090563,2.391016734,69.23728354,0.304668281,1.854926632,0.003677281
5000,213150,876.2843419,189.7524723,5.697296461,356.8337084,2.424317862,70.20001224,0.307470451,1.936203819,0.003743991
5100,206945,881.9552177,190.4079283,5.707349343,362.4566633,2.456986926,71.15364991,0.310281352,1.989132384,0.003799171
5200,201132,887.4691926,191.0614845,5.71716058,368.0617046,2.489336007,72.04468432,0.312913701,2.066330354,0.003863377
5300,195479,892.8302069,191.6851164,5.726566495,373.5190053,2.520374882,72.89655989,0.315466171,2.133168601,0.003913979
5400,190096,898.0473752,192.3181334,5.736162285,378.8798596,2.550907281,73.81448885,0.318083355,2.202661467,0.003978342
