Maximum,membership,maxed_value,er_value,er_utilization,ip_value,ip_admits,primary_care_value,primary_care_utilization,specialist_value,specialist_utilization,mental_health_value,mental_health_utilization,imaging_value,imaging_utilization,speech_value,speech_utilization,occupation_physical_therapy_value,occupation_physical_therapy_utilization,preventive_care_value,preventive_care_utilization,laboratory_value,laboratory_utilization,x_rays_value,x_ray_utilization,skilled_nursing_value,skilled_nursing_utilization,generic_value,generic_utilization,preferred_value,preferred_utilization,non_preferred_value,non_preferred_utilization,specialty_value,specialty_utilization
0,3886699,0,0,3.00E-06,0,0,0,0,0,7.39E-06,0,0,0,0,0,0,0,5.77E-05,0,0.000013511,0,1.35E-05,0,0,0,0,0,0,0,0,0,0,0,0
100,3406869,85.02546566,0.008362666,0.00016791,3.27E-05,1.44E-06,0.873302509,0.011497315,0.315154252,0.004068425,0.048002309,0.000677362,0.001051809,0.000030858,4.46E-05,1.88E-06,0.075540348,0.002586656,1.230236753,0.028001288,0.253225314,0.017461761,0.087676154,0.002402161,0,0,3.20443984,0.232533291,0.158433595,0.003754908,0.107538729,0.002523963,0.000198204,2.38E-06
200,3310143,167.0541517,0.113355161,0.000866795,0.000180411,4.42E-06,10.59766608,0.091228765,3.590046477,0.03018935,0.376999367,0.003784625,0.013291869,0.000162189,0.000556526,6.94E-06,0.345722904,0.010033031,4.548037599,0.081202158,1.297424087,0.079639043,0.470368941,0.009576204,0,0,6.742397499,0.412838163,1.005649095,0.012092108,0.379761249,0.005400229,0.000425412,5.46E-06
300,3162429,245.5450275,0.471894702,0.002375721,0.000930883,1.04E-05,21.13910559,0.163780303,7.645237049,0.056638805,0.786859428,0.007444251,0.030770478,0.000283731,0.0011276,1.46E-05,0.77983288,0.021370847,8.472510842,0.15428903,2.988246173,0.173806968,1.291213858,0.022902967,0,0,10.66204461,0.592814201,2.233502861,0.022721819,0.773848059,0.008811995,0.001753473,3.87E-05
400,3020137,320.9789601,1.185144843,0.004654378,0.001867443,1.36E-05,31.48964386,0.232859234,11.50113976,0.081181853,1.251081215,0.011715813,0.052461037,0.000422457,0.001906915,2.61E-05,1.291297471,0.034289289,12.76431145,0.234357081,5.197442742,0.284517835,2.32962138,0.037368206,0,0,14.78612274,0.775220509,3.908692111,0.036215526,1.278028728,0.012745253,0.001940344,3.79E-05
500,2891556,393.5766073,2.161200439,0.007197888,0.003699985,2.06E-05,41.278063,0.295803111,15.25688619,0.10439718,1.760119486,0.016248077,0.089740505,0.00066305,0.003204489,8.14E-05,1.879821188,0.048847763,17.49800383,0.318617056,7.673145407,0.398354075,3.53648129,0.052740607,0,0,19.10059815,0.95471669,5.856938199,0.05151704,1.869233577,0.016860878,0.003915748,0.000068416
600,2771512,463.6052904,3.428161541,0.010065757,0.006078384,2.64E-05,50.5031985,0.354274189,18.8914986,0.126670671,2.323171258,0.021203295,0.134552979,0.000895406,0.005783268,0.000104031,2.51752705,0.064576814,22.29494796,0.401713549,10.25296992,0.51049085,4.873162968,0.068539529,0,0,23.60479677,1.134966048,8.054653616,0.068496336,2.515896407,0.021139101,0.005947135,8.28E-05
700,2660173,531.2547678,4.931086263,0.013068392,0.009407031,3.32E-05,58.97663665,0.407758221,22.36293214,0.147644026,2.88077965,0.026122147,0.204244426,0.00118108,0.009342777,0.000144611,3.178839994,0.080880455,27.09921254,0.481270584,12.85436913,0.617207635,6.305459705,0.084181659,0,0,28.22154822,1.311896158,10.53374458,0.087447691,3.246888689,0.025687801,0.008297549,0.000120089
800,2557441,596.6291045,6.556615887,0.016043006,0.015626903,4.27E-05,66.67167239,0.456422588,25.70489186,0.167779192,3.454536238,0.031069172,0.299877442,0.001485936,0.012402869,0.000176731,3.900462711,0.098287868,31.8434763,0.55767006,15.42220731,0.718910707,7.91765353,0.100569436,0,0,32.92643331,1.485187376,13.26775578,0.107908052,4.004539089,0.030218156,0.009719266,0.000150746
900,2462118,659.9769978,8.385455407,0.019117516,0.02167064,5.35E-05,73.67182365,0.501223344,28.825147,0.186845735,4.033240999,0.036067319,0.456069088,0.001931577,0.016206675,0.00021222,4.6686897,0.117150201,36.34363991,0.628808838,17.92498778,0.813456933,9.578511394,0.116613582,0,0,37.50076209,1.649136028,16.26924576,0.130895312,4.810555692,0.034963963,0.011734857,0.00018664
