Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization
0,"3,886,699",0,0,3.39E-05,0,3.12E-06,0,8.54E-05,0,8.85E-05,0,3.77E-05,0,2.30E-05,0,0,0,5.68E-05,0,0.000132251,0,0.000341876,0,0.000153975,0,0
100,"3,304,329",82.92191486,0.010651334,2.08E-04,3.03E-05,4.01E-06,2.313230835,0.029343951,0.744820005,0.009222279,0.156827231,0.002162552,2.35E-03,7.74E-05,4.03E-05,1.70E-06,0.086627529,0.00318582,2.025860016,0.043766883,0.431516932,0.030881973,0.118298599,0.003375384,0,0
200,"3,228,879",161.8612671,0.135219167,0.001003164,1.58E-04,4.92E-06,16.5687828,0.143556031,5.734413405,0.048150535,0.923410652,0.009437735,1.81E-02,0.000248194,0.000774085,1.15E-05,0.369763137,0.010990024,6.300252819,0.12056354,2.08709099,0.131861637,0.62217749,0.012639234,0,0
300,"3,026,406",235.9860667,0.538364982,0.002640252,8.36E-04,9.99E-06,31.12690369,0.245975713,11.34761214,0.085734875,1.758500769,0.017340292,3.97E-02,0.000410896,0.001207523,1.72E-05,0.827515463,0.022912221,11.55072799,0.230290164,4.753040882,0.282879686,1.619462592,0.028467702,0,0
400,"2,835,704",305.8050643,1.276583632,0.004929039,1.61E-03,1.18E-05,45.40484308,0.343283104,16.6240153,0.120320683,2.657703898,0.025753226,6.63E-02,0.000578274,0.002439789,3.09E-05,1.354261038,0.036222704,17.3530158,0.34964832,8.18307668,0.456874134,2.874130841,0.045951348,0,0
500,"2,662,178",371.6803245,2.282556947,0.007531557,3.26E-03,1.79E-05,58.70231382,0.430568809,21.73098804,0.152860605,3.603125406,0.034300552,0.105231232,0.000820183,0.004035349,8.74E-05,1.971317698,0.051613349,23.56449702,0.470943833,11.8914899,0.630542946,4.340022983,0.064585779,0,0
600,"2,502,239",434.0140216,3.572158918,0.010462762,0.005474366,2.50E-05,70.83830015,0.508009548,26.53706678,0.182966799,4.602810191,0.043272285,0.165714202,0.001126484,0.006509464,0.000112095,2.671854691,0.068842759,29.86206595,0.586906963,15.6360599,0.794456682,6.044306223,0.084356383,0,0
700,"2,356,353",493.176207,5.128719385,0.013598521,0.009000454,3.25E-05,81.56683452,0.576059311,31.15500687,0.21155529,5.547720244,0.051601551,0.252287807,0.001473836,0.010794825,0.000168116,3.42984068,0.087385463,36.0590269,0.695480262,19.30873198,0.94623319,7.892708741,0.10419046,0,0
800,"2,225,524",549.457808,6.879229814,0.016789693,0.013801225,3.99E-05,91.17510357,0.636920145,35.47178242,0.238061995,6.534063271,0.060134694,0.389207159,0.001901013,0.014073157,0.000200799,4.242379699,0.10725542,42.06838893,0.796261599,22.88041492,1.087746159,9.92694131,0.124631458,0,0
900,"2,107,384",603.1420938,8.786510135,0.019995972,2.00E-02,5.03E-05,99.67230392,0.69094128,39.6123494,0.263621656,7.465633065,0.068196103,0.59760528,0.002492922,0.018740978,0.000245245,5.10668236,1.29E-01,47.61100864,0.88715015,26.35956465,1.217653816,11.98353655,0.144397376,0,0
1000,"2,002,155",654.5626423,10.93223814,0.023345952,2.88E-02,6.12E-05,107.2344435,0.738851337,43.56129182,0.287598474,8.388184612,0.07609598,0.858255962,0.003186681,0.023468766,0.000296205,6.069699704,1.52E-01,52.65594276,0.969328948,29.72733088,1.338366014,14.17028653,0.164340983,0,0
1100,"1,907,186",703.9028624,13.24731945,0.026714956,3.97E-02,7.33E-05,113.9387442,0.781336547,47.266091,0.310241082,9.303915616,0.083818719,1.226616592,0.004075665,0.030017214,0.000360723,7.078334378,1.77E-01,57.25188591,1.042417786,32.93306311,1.447666478,16.44152403,0.183942568,0,0
1200,"1,821,986",751.3616828,15.70847731,0.03007662,0.050694572,8.59E-05,119.9571391,0.819571448,50.79738694,0.331803743,10.24285432,0.091625212,1.68908514,0.005155416,0.036192148,0.000436027,8.103661907,2.02E-01,61.44998424,1.107738433,35.9551611,1.548066127,18.75136843,0.20316298,0,0
1300,"1,744,685",797.0583532,18.23429817,0.033359726,0.068969012,0.000103573,125.3306924,0.853413907,54.10789493,0.35199449,11.11790683,0.098584166,2.211851017,0.006297033,0.04093153,0.000492533,9.145086204,2.26E-01,65.28067178,1.165927805,38.79418858,1.638978672,21.06653251,0.222232618,0,0
1400,"1,674,662",841.1261435,20.79724898,0.03654064,0.091385088,0.000124661,130.0993469,0.88363192,57.34252701,0.371650845,12.02384329,0.105905022,2.832286061,0.007608128,0.048344685,0.000585671,10.2717086,2.53E-01,68.80511485,1.218313441,41.47496222,1.72312542,23.37401993,0.240352099,0,0
1500,"1,610,552",883.6864585,23.37692959,0.039626102,0.123050028,0.000151827,134.4517983,0.91121957,60.3843765,0.390155477,12.89228708,0.112709235,3.561181015,0.009134098,0.057063881,0.000666538,11.40794313,2.80E-01,72.15773359,1.266833845,44.06471263,1.802731243,25.69215951,0.257741508,0,0
1600,"1,551,643",924.8637209,25.97611446,0.042529185,0.159829594,0.000182195,138.3678213,0.935992165,63.26643932,0.407540473,13.72838523,0.119320698,4.337734198,0.010717853,0.06799496,0.000783741,12.58399625,0.308064151,75.21085506,1.309445929,46.50014471,1.874781393,27.88441421,0.27414384,0,0
