Maximum,Membership,Maxed_Value,Generic_Value,Generic_Utlization,Preferred_Value,Preferred_Utilization,Non_Preferred_Value,Non_Preferred_Utilization,Specialty_Value,Specialty_Utilization
0,1441045,0,0,0,0,0,0,0,0,0
100,1104430,62.47660833,15.3648726,1.124060703,0.961618717,0.023865756,0.336893879,0.006711805,0.002588264,8.01721E-05
200,839305,113.574617,29.27259217,1.815149777,5.436402382,0.069400553,1.385693956,0.018072114,0.014350785,0.000333543
300,730114,158.5709341,41.51334372,2.326786071,11.38884808,0.120763026,2.761055641,0.028946805,0.038858719,0.000791099
400,655960,199.2603975,53.08256136,2.76212805,18.04927612,0.178110193,4.134488668,0.039087991,0.062602848,0.001153824
500,598093,236.4665628,63.79951351,3.131581257,24.95575183,0.235606456,5.594929,0.048780255,0.094674783,0.001404422
600,550549,270.8750374,72.60484622,3.415800554,32.09512612,0.293861098,7.035918605,0.058087352,0.129202915,0.00165457
700,513168,303.0672508,80.29901026,3.652788577,39.79433826,0.355959682,8.457451772,0.066757025,0.169761033,0.001845331
800,481764,333.3431493,87.34370887,3.855807699,48.07376041,0.4226,9.915956338,0.074982171,0.203344259,0.001991565
900,453707,361.9038017,93.47886226,4.019932591,57.14785139,0.497044986,11.28345979,0.082688493,0.257573791,0.002187547
1000,428864,388.9013285,98.86755044,4.159761654,67.39326654,0.5802332,12.74619835,0.090167877,0.302373211,0.002365873
1100,405424,414.4254503,103.6952161,4.278853969,77.95768982,0.666993921,14.15575409,0.097214698,0.351847784,0.002541154
1200,383965,438.6021551,108.2720325,4.386342179,88.71153916,0.754442695,15.5145857,0.103949651,0.400972202,0.00268447
1300,364058,461.5352122,112.6921026,4.488385228,99.23574364,0.835909681,16.80529414,0.110218827,0.444460471,0.002783335
1400,345920,483.3391857,116.5955252,4.576705635,109.7934751,0.915475706,18.1832672,0.116577033,0.492660431,0.002923348
1500,329256,504.1160873,120.2908108,4.655407056,120.4609386,0.995498888,19.34118422,0.121712681,0.557951529,0.003036807
1600,313854,523.9322851,123.6926379,4.727220865,131.3082174,1.076534018,20.61651371,0.127448767,0.610342706,0.003139702
1700,299338,542.8352428,126.9796907,4.795117726,141.6441002,1.153325554,21.71308114,0.132039426,0.669972552,0.003291308
1800,286190,560.9241988,129.9763946,4.854957293,152.2151798,1.229780166,22.92861277,0.137341267,0.71301032,0.003400473
1900,273660,578.2238225,132.8247746,4.912044952,162.8295248,1.30628116,24.1520017,0.142537243,0.753535362,0.003464287
2000,261797,594.768127,135.390088,4.961593294,173.2962473,1.380700007,25.3728031,0.14741661,0.80854659,0.00358063
2100,250631,610.6080464,137.9243536,5.009478903,183.6153247,1.454215681,26.50837698,0.151981519,0.872132562,0.003729426
2200,240048,625.7923398,140.2473139,5.054261384,193.8758445,1.526609327,27.60045378,0.156370676,0.923562826,0.003847191
2300,230170,640.3444208,142.4718571,5.096008092,203.6990859,1.595461307,28.67494669,0.160736061,0.984585003,0.004018792
2400,221015,654.316167,144.5693132,5.135300983,213.584056,1.663899336,29.75001745,0.165014255,1.068641497,0.004160295
2500,212242,667.7295547,146.5148368,5.171714398,223.1176762,1.729022395,30.86726109,0.169541512,1.131432509,0.004245027
2600,203970,680.6206306,148.3789614,5.206847069,232.5387107,1.792939967,31.9562535,0.173744487,1.210520774,0.004365092
2700,196144,693.020049,150.1456584,5.239559132,242.0903638,1.856909932,33.07481184,0.17800337,1.279091454,0.004484261
2800,188497,704.9382151,151.7887129,5.269248349,251.1697792,1.917803996,34.18194541,0.182036142,1.336460484,0.004567321
2900,181432,716.4101537,153.3276513,5.297296333,259.8944812,1.975354636,35.25543535,0.186169505,1.423075641,0.004700334
3000,174860,727.4731383,154.8198989,5.324524022,268.7087221,2.033742599,36.2573894,0.189763282,1.490062418,0.004784848
3100,168514,738.1401448,156.3294707,5.350947934,277.3280239,2.09011177,37.30978644,0.193540536,1.568078426,0.004931371
3200,162380,748.4193023,157.6534247,5.374082468,285.5410969,2.143138855,38.33365085,0.197254701,1.639658518,0.005025988
3300,156739,758.3498787,158.8812215,5.395386752,293.8805086,2.19713097,39.23153743,0.200628775,1.707652515,0.00511372
3400,151241,767.9400791,160.1340379,5.416571735,301.9187731,2.248203009,40.19116385,0.204034092,1.811289612,0.005277716
3500,146008,777.1955737,161.2652023,5.436383679,309.795138,2.297551579,41.10074357,0.207336755,1.89310983,0.005383109
3600,141091,786.1417267,162.2676204,5.453593663,317.3316594,2.344555196,41.99451848,0.210458802,1.978611258,0.005451145
3700,136512,794.8062081,163.2954185,5.469840091,324.8830121,2.39133074,42.88209889,0.213718577,2.089379738,0.005584615
3800,131959,803.1877347,164.2521008,5.486625879,332.1762821,2.436602262,43.68686877,0.216553853,2.170991927,0.005673628
3900,127779,811.3074012,165.1472233,5.502135426,339.3852484,2.48138183,44.56361975,0.219565953,2.241258389,0.005756471
4000,123752,819.1724717,166.030324,5.516685291,346.7122769,2.526375619,45.39439668,0.222509857,2.319824418,0.005847482
4100,119816,826.7918135,166.8375054,5.529809684,354.0631332,2.571747616,46.10839103,0.224934704,2.419659237,0.005964908
4200,115991,834.1694685,167.7403974,5.543624983,361.2541499,2.615256768,46.91897462,0.22771729,2.532913676,0.006086115
4300,112241,841.3104193,168.5225998,5.556620857,368.2616323,2.65585137,47.68066977,0.230342307,2.638994748,0.006190927
4400,108713,848.2312001,169.2423973,5.567497381,375.0276309,2.696206405,48.47581759,0.232992809,2.721131559,0.006270917
4500,105367,854.9423415,170.0231961,5.579405458,381.7035413,2.73682505,49.31176522,0.235693962,2.820342714,0.006375527
4600,102102,861.4354453,170.6011082,5.588771653,387.9076863,2.773588062,49.97915936,0.237943304,2.937233832,0.006491203
4700,99179,867.7524367,171.2809806,5.599505021,394.3436821,2.811695597,50.75585515,0.24041865,3.036400188,0.006585641
4800,96181,873.8797505,171.9495282,5.610215457,400.6108806,2.848186645,51.48066633,0.242864647,3.132917025,0.006714971
4900,93320,879.8258004,172.5920324,5.620521074,406.8856012,2.885949308,52.22919781,0.245169878,3.266461822,0.006856762
5000,90512,885.593027,173.1580278,5.629652867,412.9505436,2.920993711,52.9243476,0.247402013,3.424316623,0.00699258
5100,87878,891.1974467,173.6451718,5.637620647,419.0397004,2.955095597,53.5968746,0.249542185,3.530518656,0.007089107
5200,85329,896.6414619,174.1689846,5.645646722,424.9871375,2.989057647,54.23647526,0.251554318,3.673230455,0.007250484
5300,82885,901.9238194,174.6490234,5.653837322,430.6701156,3.021458447,54.93742315,0.253870446,3.757806917,0.007381719
5400,80549,907.0603194,175.1353533,5.661381896,436.2857246,3.053427347,55.55029917,0.255788415,3.842026917,0.007448356
5500,78327,912.0475465,175.6027889,5.669362127,441.6173893,3.08236891,56.17275737,0.257719157,3.943891932,0.007564451
5600,76245,916.9101653,176.0599133,5.676521076,447.1182933,3.113630365,56.78719564,0.259755014,4.076574879,0.007730287
5700,74088,921.6291532,176.501859,5.68355088,452.0591846,3.140656748,57.38514938,0.261545298,4.180931483,0.00784762
5800,72173,926.2315248,176.9161719,5.68938356,457.2864575,3.168637429,57.93116436,0.263240406,4.25547203,0.007929555
5900,70237,930.7142534,177.3413753,5.696577712,462.4786894,3.197306811,58.51940043,0.265026,4.327045563,0.008000664
6000,68327,935.0797264,177.720738,5.702826635,467.6563956,3.22540778,59.05157966,0.266695518,4.421084968,0.008112168
6100,66506,939.3188718,178.1083729,5.708667946,472.4960031,3.251111778,59.60014791,0.268427949,4.548491573,0.008207467
6200,64780,943.4479041,178.5343111,5.715034101,477.2661608,3.276218002,60.14410235,0.270115654,4.685732772,0.008344753
6300,63126,947.4667075,178.8641473,5.719525587,481.7194939,3.299255816,60.72543084,0.271747888,4.776281923,0.00841315
6400,61571,951.3935294,179.198451,5.724041276,486.3838878,3.323987502,61.24713418,0.273314523,4.860152418,0.008508322
6500,59997,955.2199016,179.5311667,5.729448065,490.948026,3.348028239,61.73799823,0.27482174,5.024005328,0.008631272
7500,58461,988.7169221,182.3300156,5.7707034,530.7477256,3.553620058,66.35398497,0.288141481,6.301364168,0.00973951
10000,46016,1046.390417,187.1092178,5.840062791,602.103368,3.899309912,74.79535555,0.311241574,9.605288331,0.012139247
15000,27837,1109.292993,192.1844287,5.910421165,672.8997604,4.198536967,83.6729839,0.332457476,17.65075619,0.016661849
20000,14209,1145.319035,194.7415113,5.944516969,704.2072388,4.308466325,88.15995296,0.341753768,27.00984737,0.020878991
25000,9356,1170.090234,196.1032507,5.962284806,724.1373372,4.358792243,90.68403243,0.345975864,38.90047908,0.025776005
30000,6632,1187.150139,197.281179,5.977116297,736.9802206,4.384202696,92.6717262,0.348953787,57.16509808,0.03277205
35000,4510,1199.225614,197.8713298,5.984035957,745.2128868,4.40051737,93.80452318,0.350431369,69.16241344,0.036708674
40000,3348,1208.383112,198.2569714,5.988733287,751.0928414,4.410337984,94.60177109,0.351393592,78.01137098,0.039262229
45000,2630,1215.455395,198.6786659,5.991680677,755.6261283,4.417230897,95.37051348,0.352035297,89.78054486,0.042377055
50000,1903,1220.246573,198.9869427,5.994222783,760.6708894,4.423165776,95.8518863,0.352469316,103.5571639,0.04591967
100000,1148,1232.563199,200.2546885,6.001958435,772.2491012,4.437974311,97.96619098,0.354071222,128.8965587,0.051070939
200000,124,1235.28512,200.5162851,6.002949678,774.1648777,4.439192696,98.61061887,0.354222225,134.3012028,0.05174578
300000,15,1236.082901,200.5442858,6.002965642,774.8882835,4.439392561,98.61628432,0.354254665,134.9037454,0.051791105
400000,8,1236.482989,200.693312,6.003012608,775.3223128,4.439477716,98.6160221,0.354256598,135.5112114,0.051826002
500000,3,1236.60036,200.9582336,6.003083198,775.3581241,4.439504574,98.61720617,0.354259086,135.5150574,0.051826673
1000000,2,1236.83091,200.9593387,6.003090871,775.366698,4.439519438,98.62991828,0.354269007,135.8252244,0.0518344
2000000,1,1236.840025,200.9655666,6.003106003,775.5901072,4.439530938,98.79921279,0.354278183,135.8251381,0.051834368
Unlimited,0,1236.840025,200.9655666,6.003106003,775.5901072,4.439530938,98.79921279,0.354278183,135.8251381,0.051834368
