Maximum,membership,maxed_value,er_value,er_utilization,ip_value,ip_admits,primary_care_value,primary_care_utilization,specialist_value,specialist_utilization,mental_health_value,mental_health_utilization,imaging_value,imaging_utilization,speech_value,speech_utilization,occupation_physical_therapy_value,occupation_physical_therapy_utilization,preventive_care_value,preventive_care_utilization,laboratory_value,laboratory_utilization,x_rays_value,x_ray_utilization,skilled_nursing_value,skilled_nursing_utilization,generic_value,generic_utilization,preferred_value,preferred_utilization,non_preferred_value,non_preferred_utilization,specialty_value,specialty_utilization,
0,1441045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000011803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1317372,88.34473998,0.011502249,0.000203303,0.000664395,7.39E-06,0.843355224,0.01084376,0.301798695,0.003829059,0.04568091,0.000690368,0.003542495,0.00007706,0,0,0.078422192,0.002620193,1.231784711,0.028667741,0.29131616,0.018897854,0.107697175,0.002808687,0,0,3.464407823,0.249259656,0.197971127,0.004340627,0.055321799,0.001365076,0,0,0
200,1289704,174.1086333,0.102415727,0.000798886,0.000446484,4.97E-06,11.73668756,0.097685692,3.623654264,0.029955556,0.413934877,0.004002538,0.022561205,0.000250753,0,0,0.402144601,0.011447353,4.773526874,0.083619108,1.310959222,0.078498053,0.519986024,0.010720946,0,0,6.940635563,0.4214929,1.123277485,0.013338797,0.262515239,0.003445309,0.00021663,5.72E-06,0.00021663
300,1250106,256.7819499,0.485030152,0.002381165,0.0016188,1.09E-05,23.40598417,0.175077032,7.747751537,0.055972899,0.853435048,0.007704547,0.040006184,0.000402403,0,0,0.897596518,0.02362155,9.046906983,0.160902221,2.957769987,0.17001857,1.431474526,0.025550653,0,0,10.77360244,0.590179839,2.487930236,0.024669026,0.575793532,0.006014225,0.001489268,9.14E-06,0.001489268
400,1210823,336.7780369,1.309972285,0.004955364,0.001321172,8.73E-06,34.57400091,0.247154303,11.6700861,0.080606682,1.38800675,0.012236571,0.061125846,0.000561434,0.000650605,6.81E-06,1.596999525,0.041045288,13.75054076,0.245289995,5.163803378,0.276776019,2.589349409,0.041743604,0,0,14.71882338,0.754240897,4.211607721,0.038179996,0.928387676,0.008625466,0.003884554,0.000047662,0.003884554
500,1174195,414.2849747,2.562352744,0.008217803,0.001116771,7.28E-06,45.22089025,0.31371713,15.4704484,0.103540714,1.999565333,0.017373605,0.086190008,0.000697961,0.002000304,0.000017552,2.279356512,0.057717037,18.83294688,0.333245466,7.625886344,0.387542896,3.852586322,0.057914769,0,0,19.01701224,0.924751514,6.318200843,0.054003881,1.346764699,0.011395006,0.006181553,7.00E-05,0.006181553
600,1138998,489.2855908,3.97880607,0.011426436,0.002710395,9.90E-06,55.03866713,0.374575833,19.18610141,0.125868923,2.607424275,0.022550078,0.133521189,0.000945464,0.004079709,3.20E-05,3.030131629,0.076199147,24.26595275,0.42299633,10.24667985,0.499017891,5.292924975,0.07548005,0,0,23.30873662,1.090632742,8.753151599,0.071685149,1.807873743,0.014360731,0.008276173,0.000108836,0.008276173
700,1105473,562.090725,5.715105525,0.014917596,0.006689364,1.70E-05,63.89210436,0.429467423,22.7603831,0.14731487,3.241665589,0.027956818,0.199619106,0.001204829,0.004563177,0.0000366,3.903145171,0.098155888,29.81844981,0.511129036,12.97814978,0.605982474,6.815116929,0.093024284,0,0,27.91391689,1.257926902,11.47639228,0.092534799,2.25328478,0.017216406,0.012167663,0.000147212,0.012167663
800,1073341,632.7246981,7.612961961,0.018446505,0.011030348,2.95E-05,71.92267359,0.480000797,26.15053178,0.16748408,3.890292832,0.03342648,0.307171859,0.001572512,0.006036403,5.23E-05,4.877603116,0.12165757,35.30444963,0.594875376,15.60558579,0.705204847,8.428358288,0.110690929,0,0,32.53986191,1.418109732,14.54377093,0.114323606,2.816446384,0.020363742,0.01418245,0.000187262,0.01418245
900,1042792,701.5262469,9.869253038,0.022346369,0.021021698,0.000048311,79.21130181,0.525926838,29.43045662,0.18665573,4.574251694,0.038918342,0.448735708,0.002033833,0.007952448,7.18E-05,5.88320344,0.145775584,40.3597867,0.672227557,18.24499557,0.799529,10.1252012,0.127819187,0,0,37.01368511,1.571816728,17.84696715,0.138085467,3.422001207,0.023662778,0.015278037,0.000203351,0.015278037
