Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization
0,1441045,0,0,3.48885E-05,0,2.89903E-05,0,0.000106656,0,9.61066E-05,0,3.16271E-05,0,5.79807E-05,0,0,0,1.46691E-05,0,0.00015102,0,0.000527688,0,0.000237829,0,0
100,1283810,86.42588922,0.015103582,0.000260631,6.00E-04,3.10552E-05,2.129210117,0.026352147,0.696736262,0.008506472,0.155656226,0.002116605,0.003386409,0.000172124,0,0,0.100270289,0.003466198,1.976116783,0.044354572,0.484428224,0.0340004,0.150754855,0.004008008,0,0
200,1263545,169.4384521,0.129439503,0.000972566,4.02E-04,2.06046E-05,17.23759789,0.144078889,5.730359973,0.046819775,0.970285512,0.009542353,0.026600022,0.000361404,0,0,0.423910145,0.012443557,6.407266358,0.120837109,2.063758865,0.129325244,0.657621662,0.013551482,0,0
300,1207590,248.2595437,0.577696625,0.002799761,1.36E-03,2.08451E-05,32.83005232,0.249694572,11.09043398,0.081849426,1.854102611,0.017773852,4.83E-02,0.000539898,0.000368804,3.61077E-06,0.926556727,0.02544186,12.08738792,0.231960722,4.563584068,0.270120149,1.724865105,0.030749748,0,0
400,1152999,323.2649846,1.458440675,0.005465564,1.09E-03,1.61342E-05,47.82459439,0.348529341,16.38630958,0.115943914,2.927588278,0.027300631,6.92E-02,0.000686442,0.000559046,5.86221E-06,1.613296811,0.042612052,18.35860111,0.35516416,7.911593699,0.436294805,3.071233567,0.049522194,0,0
500,1100728,394.6399497,2.673157225,0.008602186,9.13E-04,1.31098E-05,61.82558204,0.437232831,21.3354876,0.14708797,4.016614359,0.036939209,0.110584944,0.000900522,0.001576065,1.41401E-05,2.33439292,0.060130785,25.16504958,0.481887478,11.57398298,0.604173345,4.562050593,0.068843654,0,0
600,1051271,462.6131682,4.093105043,0.011798022,2.34E-03,1.42755E-05,74.42697032,0.516659309,26.32818203,0.177664109,5.032914978,0.045910353,1.64E-01,0.00117895,0.003391968,2.66684E-05,3.170301772,0.08075114,32.26199646,0.605400602,15.33551722,0.766874267,6.302832672,0.089791217,0,0
700,1004623,527.676308,5.986983632,0.015628655,6.47E-03,2.45833E-05,85.84438613,0.588239909,30.91233079,0.205753395,6.048760067,0.054703191,2.36E-01,0.00146603,0.005493234,4.82367E-05,4.09489218,0.103956908,39.26223249,0.722027987,19.12593998,0.918538826,8.260157837,0.1120137,0,0
800,960795,589.8876989,8.037479717,0.019465576,0.009334739,3.03535E-05,95.82973237,0.651481,35.2358154,0.232006119,7.172555916,0.06425959,3.59E-01,0.00188393,0.006897024,6.19418E-05,5.090433611,0.127744612,46.09564209,0.831765199,22.80267353,1.057311962,10.31796574,0.1340312,0,0
900,920570,649.6235314,10.37907662,0.023474876,1.78E-02,4.39124E-05,104.5158525,0.706305804,39.43471508,0.257137281,8.284832771,0.073331877,0.5522607,0.002418703,0.008665782,8.85383E-05,6.198996825,0.154748535,52.23214327,0.929164824,26.34841135,1.185251082,12.4733311,0.15540601,0,0
