Maximum,Membership,Maxed_Value,Generic_Value,Generic_Utlization,Preferred_Value,Preferred_Utilization,Non_Preferred_Value,Non_Preferred_Utilization,Specialty_Value,Specialty_Utilization
0,432963,0,0,0,0,0,0,0,0,0
100,317589,62.58836039,16.17054327,1.147707131,0.916172779,0.023195421,0.663821302,0.013957486,0.00340492,0.000130789
200,231683,112.99696,30.79515484,1.893704256,5.064784819,0.066388374,2.526270494,0.034199965,0.010046699,0.000245513
300,195297,156.7431583,43.90415682,2.475092025,10.37328517,0.113214673,4.823772245,0.052947908,0.018219196,0.000354158
400,171286,195.7805745,56.05159522,2.965010117,16.0866825,0.162988409,6.953074198,0.069528088,0.025117728,0.000426836
500,153511,231.1473243,67.1969404,3.371497326,21.8560244,0.212817227,9.297740963,0.08566555,0.039566478,0.000553036
600,139497,263.5575207,76.58660899,3.699667687,27.99554036,0.263545268,11.56452506,0.100663954,0.044157553,0.000587834
700,128414,293.6342766,85.00253172,3.971565777,34.3107022,0.31724576,13.59383457,0.113848614,0.057279327,0.000648112
800,119360,321.7344955,92.51394901,4.1974995,40.95264387,0.374196679,15.80492472,0.127808569,0.06686329,0.000703541
900,111527,348.0991323,99.238577,4.389076631,48.1700336,0.438077957,18.04113939,0.141823389,0.082162966,0.000733939
1000,104517,372.8924404,105.4535704,4.557618206,55.86711431,0.507615419,20.5302147,0.156302103,0.095205823,0.000782962
1100,98059,396.2195761,111.060946,4.704781769,64.22071548,0.582666621,22.99611541,0.17100307,0.120853357,0.000868872
1200,92047,418.1720969,116.2583638,4.83411076,73.02863544,0.661418276,25.21034885,0.18405994,0.127001589,0.000882394
1300,86568,438.8847896,121.1447513,4.949813013,81.02457816,0.731109431,27.46799248,0.197028673,0.152303583,0.000944967
1400,81767,458.4960761,125.9270579,5.064239977,88.96133448,0.798571685,29.6453652,0.208868304,0.172071634,0.000972208
1500,77407,477.1137061,130.0605137,5.156871482,96.8449689,0.866563478,31.59950422,0.219641954,0.178162562,0.001003212
1600,73541,494.8353001,134.1112001,5.247252032,105.1158666,0.936108026,33.78167152,0.230710421,0.19755541,0.001025078
1700,69752,511.677395,137.8488482,5.328008759,112.8674375,1.001209172,35.89240267,0.241206755,0.206905082,0.00104955
1800,66378,527.7447755,141.3910785,5.40177204,121.0397337,1.06948824,37.88865329,0.250812403,0.207433867,0.001053253
1900,63157,543.0567696,144.647528,5.46991994,129.0790875,1.13717535,39.98670665,0.260605115,0.227466634,0.001096058
2000,60136,557.6691129,147.6588837,5.531251912,137.5952393,1.206009049,41.66691571,0.268488688,0.2411537,0.001125732
2100,57291,571.6109859,150.5893977,5.590209501,145.4163095,1.269912823,43.46743839,0.276667099,0.258958611,0.001138705
2200,54685,584.9362652,153.1890339,5.64090166,153.2064556,1.332570293,45.07553047,0.283764387,0.296990711,0.001206663
2300,52271,597.6961863,155.7412446,5.692517648,160.6243942,1.393093642,46.85044363,0.292148344,0.301823051,0.001206916
2400,50033,609.9299265,158.0974607,5.738551341,168.6082215,1.457410855,48.47913166,0.299368536,0.321428962,0.001221802
2500,47801,621.6446769,160.3003972,5.780253542,176.5694082,1.518582932,50.09238203,0.306622642,0.334103423,0.001250287
2600,45714,632.8546667,162.2259777,5.817794979,183.8490133,1.575405096,51.6262281,0.313150758,0.396806276,0.001318713
2700,43873,643.6440833,164.1051477,5.852818449,191.7977472,1.636224997,53.20735418,0.319990533,0.428554394,0.001373898
2800,42007,653.9825272,165.9561054,5.886014341,199.3433335,1.692877326,54.89214559,0.327077448,0.46671274,0.001425191
2900,40244,663.8876839,167.5834149,5.916259791,206.0881539,1.743743842,56.36478542,0.333184966,0.501519906,0.001474587
3000,38719,673.4430588,169.3397276,5.949584191,213.4540967,1.798968781,57.61313796,0.3381367,0.539117023,0.001494976
3100,37165,682.6150893,170.8338738,5.978717256,220.5656062,1.851313334,58.82061334,0.343351148,0.571268753,0.001541543
3200,35742,691.4497721,172.3205365,6.007310482,227.2285645,1.901426736,60.10439874,0.348870489,0.590323045,0.001551434
3300,34425,699.969377,173.6867044,6.03145334,233.8511955,1.950393419,61.52010024,0.354610577,0.62258016,0.001604629
3400,33136,708.1819735,175.009288,6.056033133,240.5170847,1.999974272,62.90014353,0.36006818,0.692166805,0.001674633
3500,31894,716.0923198,176.2526153,6.078902962,247.0938475,2.049960375,64.16466596,0.365472007,0.690517234,0.001672417
3600,30714,723.7128048,177.6347728,6.103609219,253.3067589,2.09761878,65.3438575,0.370227157,0.758149253,0.001752924
3700,29616,731.0583402,178.6951629,6.121493735,259.6336651,2.145379574,66.49146652,0.37476787,0.807958829,0.001787385
3800,28568,738.1541083,179.6453948,6.138508117,265.6021491,2.189033223,67.66335483,0.379022395,0.871030243,0.00183162
3900,27597,745.0056847,180.4881666,6.152524584,271.3906756,2.229869954,68.83879626,0.383445511,0.917169833,0.001878971
4000,26680,751.6443051,181.3536383,6.16657802,277.3380843,2.271373074,69.92401336,0.387457259,0.951130114,0.001934439
4100,25782,758.0656966,182.3890358,6.182446908,283.2095445,2.312965317,70.86840717,0.39110618,0.999565431,0.001988516
4200,24913,764.2720042,183.2688066,6.197352843,288.9261357,2.354216825,72.0110706,0.395196372,1.032381506,0.002006344
4300,24069,770.2809096,184.1842421,6.211485622,295.0772365,2.397953693,73.2102899,0.399794279,1.115953005,0.00205469
4400,23190,776.0573934,184.8443406,6.221447133,300.5384782,2.436366928,74.07706106,0.402943117,1.140287556,0.002102576
4500,22457,781.6594725,185.6498888,6.232645006,306.0310844,2.475421362,75.070962,0.406652345,1.196527254,0.002158683
4600,21708,787.07999,186.2534541,6.242919841,311.2012781,2.513793367,76.3660576,0.411465,1.246272485,0.002201088
4700,20991,792.3213261,186.8260566,6.252669089,316.4850051,2.549922372,77.25892487,0.415055003,1.294398761,0.00224689
4800,20332,797.3904549,187.4548587,6.262384789,321.1878768,2.581478195,78.221988,0.418730482,1.33815297,0.002304637
4900,19722,802.3056539,188.0090158,6.272479333,325.4550664,2.6104741,79.17130358,0.42229578,1.388841856,0.002339668
5000,19165,807.1098385,188.5204362,6.280176071,330.7900965,2.646539454,80.24692756,0.425989824,1.424789699,0.002352527
5100,18528,811.750154,189.0871332,6.288944693,335.9078681,2.68121922,81.21274733,0.429593884,1.51036495,0.002404592
5200,17923,816.2401842,189.5869724,6.296979716,340.5020007,2.713446501,82.178266,0.432884804,1.579354275,0.002449917
5300,17380,820.5999211,190.0509094,6.304224685,345.3853965,2.747414056,83.12151028,0.43596709,1.631936503,0.002475236
5400,16825,824.8212003,190.5901588,6.312197822,350.0498813,2.778912629,84.10077129,0.439259899,1.71184113,0.002543948
5500,16296,828.9084494,190.9786482,6.318365869,354.2116788,2.806289664,84.87143921,0.44199229,1.760162092,0.002563094
5600,15850,832.8858119,191.464529,6.327546127,358.5573327,2.835332366,85.81605544,0.445167801,1.849043171,0.002649014
5700,15365,836.7444576,191.7948803,6.332250168,363.079468,2.865316739,86.68264504,0.447942801,1.876901068,0.002662037
5800,14903,840.4846828,192.2245246,6.339598813,367.4452504,2.893845447,87.48396417,0.450819035,1.899443595,0.002689356
5900,14447,844.1125358,192.6173194,6.345066515,371.4422141,2.918057672,88.13054843,0.452899686,1.960293,0.002749495
6000,14053,847.6388332,192.9268294,6.349757831,375.3310302,2.942286783,88.91316442,0.455319698,2.055616564,0.002833311
6100,13663,851.0792739,193.153839,6.352853888,379.4882083,2.96885333,89.7468138,0.457936586,2.073076559,0.002852029
6200,13268,854.4149463,193.4772809,6.35786891,383.26154,2.992604605,90.56411419,0.460365516,2.12544944,0.002879808
6300,12892,857.6546676,193.7181779,6.362066188,386.925814,3.015231051,91.3081525,0.462656241,2.150411919,0.002929442
6400,12551,860.8111232,193.9419881,6.366820772,390.8429856,3.039398376,91.91026557,0.46456386,2.243096447,0.002979242
6500,12209,863.8844279,194.0472251,6.368741775,394.285963,3.061598817,92.73205045,0.467385563,2.346855099,0.003042854
7500,11896,890.5681407,196.3008096,6.404975718,425.6200058,3.255215742,99.1597489,0.48735708,3.054941532,0.003514913
10000,9212,935.9387489,200.3606698,6.46274876,479.0179159,3.559800042,109.7994049,0.519768563,4.773500618,0.004545614
15000,5522,985.3002468,204.2382059,6.517320635,529.7344946,3.804138214,120.6478953,0.548039445,10.16824035,0.007374102
20000,2889,1014.483491,205.8760013,6.542449789,551.5555577,3.885278004,126.4318813,0.560534756,19.00446878,0.011365231
25000,1930,1034.585505,206.7950199,6.553927806,566.7043774,3.92302718,129.8992649,0.565559276,28.88025259,0.015563622
30000,1367,1048.473447,207.4191812,6.564373425,578.2066809,3.945443413,132.5883704,0.568459218,42.13180175,0.02101075
35000,931,1057.908949,207.9990663,6.571871407,586.0446303,3.96111347,134.7693714,0.570739997,51.9490425,0.024535916
40000,660,1064.859099,208.1874553,6.575053433,591.2836419,3.969418702,135.5222115,0.571834201,58.85864038,0.026822088
45000,510,1070.11408,208.546251,6.576445876,594.4756736,3.972726265,136.4295672,0.572454015,67.40710545,0.029176347
50000,377,1073.778191,208.7504003,6.577839963,598.2538354,3.976497117,137.3745602,0.573055977,76.63088279,0.031577101
100000,246,1084.463201,209.532529,6.582715749,605.1982076,3.98613226,140.4474935,0.575273311,96.77104751,0.03577789
200000,31,1087.775063,209.9544587,6.583668651,606.2511415,3.987093197,141.6194803,0.575546614,101.0187686,0.036315183
300000,8,1088.980608,209.9547578,6.583698456,606.6194891,3.987258308,141.6229384,0.575565269,101.7559372,0.036344519
400000,5,1089.805775,209.9565321,6.583719486,607.1603857,3.987324434,141.625792,0.575588664,102.8625463,0.036397199
500000,3,1090.360275,209.9564486,6.583717345,607.1624984,3.987331487,141.6256436,0.57558811,103.5088786,0.036422738
1000000,2,1090.772873,209.9582707,6.583745361,607.1627132,3.987344236,141.6252654,0.575586696,106.3666233,0.036499388
2000000,0,1090.772873,209.9582707,6.583745361,607.1627132,3.987344236,141.6252654,0.575586696,106.3666233,0.036499388
Unlimited,0,1090.772873,209.9582707,6.583745361,607.1627132,3.987344236,141.6252654,0.575586696,106.3666233,0.036499388
