Maximum,membership,maxed_value,er_value,er_utilization,ip_value,ip_admits,primary_care_value,primary_care_utilization,specialist_value,specialist_utilization,mental_health_value,mental_health_utilization,imaging_value,imaging_utilization,speech_value,speech_utilization,occupation_physical_therapy_value,occupation_physical_therapy_utilization,preventive_care_value,preventive_care_utilization,laboratory_value,laboratory_utilization,x_rays_value,x_ray_utilization,skilled_nursing_value,skilled_nursing_utilization,generic_value,generic_utilization,preferred_value,preferred_utilization,non_preferred_value,non_preferred_utilization,specialty_value,specialty_utilization
0,433373,0,0,0,0,0.000014124,0,1.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44E-05,0,0,0,0,0,0
100,376950,84.42028483,0.006830348,0.000153475,0.001043993,2.47E-05,0.919634105,0.012181486,0.259945148,0.00323397,0.04468283,0.000616252,0.00294532,5.35E-05,0,0,0.048358639,0.001452831,1.267810375,0.028147466,0.233024917,0.016360591,0.082066162,0.002180174,0,0,3.750689199,0.257251887,0.191548629,0.004254635,0.17197591,0.00389037,0,0
200,364548,165.5843958,0.099440581,0.000734753,0.000732212,1.88E-05,10.82459651,0.095064732,2.770424925,0.023773662,0.409701135,0.004145321,0.014215033,0.0001227,0,0,0.282054632,0.007710574,4.684496407,0.080861817,1.320726693,0.079155795,0.487410174,0.009994883,0,0,7.9116915,0.46463041,1.103029127,0.013849344,0.515445273,0.007533042,0.000404,5.56E-06
300,347050,242.9877917,0.411450473,0.002051894,0.000567326,2.71E-05,22.01190837,0.17312718,5.966652065,0.044862809,0.773600272,0.007427673,0.027080625,0.000226091,0,0,0.689230544,0.018391266,8.400949839,0.150480386,3.115220657,0.176872686,1.391041608,0.024600515,0,0,12.68275322,0.680477211,2.616331335,0.026695176,1.106347982,0.012804124,0.005886185,0.00006787
400,330353,317.1061243,1.0020533,0.003954115,0.000456619,2.34E-05,32.69326952,0.245796368,8.944935811,0.063814633,1.327917206,0.01301603,0.038841952,0.000360693,0,0,1.069628604,0.028227777,12.55820521,0.227833767,5.393592439,0.292580122,2.54454803,0.040466401,0,0,17.66788457,0.900185015,4.316689001,0.040928716,1.802397428,0.018428386,0.00803002,7.81E-05
500,315246,388.2681489,1.853618033,0.006178075,0.002610125,3.26E-05,42.95406605,0.312700991,11.90256258,0.082006368,1.838830251,0.017868261,0.069466304,0.000517268,0.001748967,1.73E-05,1.525440841,0.039860562,16.7022664,0.304222948,7.917210248,0.410797932,3.646689908,0.054787156,0,0,22.88946952,1.115011291,6.352372338,0.056833199,2.54979707,0.023883163,0.009848878,0.000104182
600,301437,456.784079,3.027402237,0.00878309,0.0050249,3.66E-05,52.597441,0.373960753,14.58242656,0.098464127,2.390626476,0.022710195,0.139266544,0.000795997,0.004165804,4.32E-05,2.056218968,0.053399167,21.33253685,0.385047922,10.55343395,0.526163967,4.883823166,0.069560533,0,0,28.06799322,1.319404258,8.639265236,0.07462406,3.366633381,0.029339373,0.010311278,0.000103252
700,288621,522.7896458,4.40547649,0.011537522,0.004478809,0.000033492,61.4878725,0.429701909,17.23023053,0.114338035,2.915116975,0.027213641,0.218786772,0.001118382,0.008118418,8.78E-05,2.665017658,0.068213919,26.2323317,0.466222274,13.13804471,0.63614587,6.248940589,0.084737003,0,0,33.60393024,1.527595705,11.26356588,0.094743492,4.392094422,0.035926831,0.012407234,0.000140479
800,276774,586.4528827,5.923142294,0.01419434,0.006165691,3.75E-05,69.57173316,0.482020003,19.92574219,0.130888901,3.399216511,0.031450485,0.302166387,0.001385824,0.012969964,0.000165162,3.259849123,0.08304675,31.03775945,0.541600654,15.74277283,0.743957723,7.768806326,0.099951999,0,0,39.11932605,1.727705433,14.05676744,0.116384158,5.352382647,0.042404956,0.013717426,0.000169869
900,265842,647.8453468,7.444884346,0.016775099,0.012870697,4.40E-05,76.96452745,0.530072844,22.48109329,0.146073311,3.957109794,0.036327548,0.470797069,0.001827734,0.015265431,0.000191529,3.853788284,0.097156939,35.48114858,0.611517583,18.24339138,0.841602445,9.31707841,0.115990729,0,0,44.37400461,1.914562476,17.07779352,0.139192353,6.341634056,0.048134742,0.015888355,0.000223949
