Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization,
0,"433,289",0,0,3.93082E-05,0,1.17871E-05,0,9.43409E-05,0,0,0,1.01032E-05,0,2.24313E-05,0,0,0,0,0,0.000116949,0,0.000184066,0,5.05161E-05,0,0,0
100,"362,940",81.81854662,0.008647083,0.000176118,9.56E-04,2.23887E-05,2.653547328,0.033440955,0.663074661,0.008088394,0.202112812,0.002782756,0.002308543,4.47016E-05,0,0,0.061378669,0.001814546,2.272572654,0.047534955,0.442720954,0.031599137,0.117484409,0.003070731,0.086499946,0,0
200,"352,791",159.1513973,0.134851301,0.000926633,6.50E-04,1.64507E-05,17.87306897,0.156785835,4.919607562,0.04157336,1.02304682,0.010867007,0.021625067,0.000202876,0,0,0.325150793,0.009139405,6.615076588,0.124424914,2.298318394,0.141905028,0.668884149,0.013554774,0.373175907,0,0
300,"327,745",231.1877382,0.469184017,0.002305773,4.95E-04,2.90095E-05,33.75147882,0.269928706,9.459977126,0.072237799,1.956985702,0.019984973,0.031709369,0.000287684,0,0,0.723024098,0.019617818,11.81253625,0.234578301,5.18991313,0.306129272,1.82844221,0.031450859,0.940376569,0,0
400,"304,639",298.5232684,1.091564649,0.004246705,0.000398795,2.50518E-05,48.91789837,0.374516452,13.72192864,0.100283404,2.97273033,0.02983201,5.99E-02,0.000482772,0.001190561,1.47867E-05,1.167722549,0.03086776,17.74352154,0.355569528,8.802327573,0.489865717,3.125231374,0.049491293,1.541880239,0,0
500,"283,777",361.6754526,1.993817282,0.00654389,2.71E-03,3.08487E-05,63.01260758,0.467145412,17.81881984,0.126303033,3.893778593,0.038525837,1.01E-01,0.000716435,0.00246665,2.69662E-05,1.670748682,0.043789684,23.5099049,0.471054451,12.51507445,0.667776335,4.55255257,0.067689085,2.155942605,0,0
600,"265,293",421.16144,3.235903882,0.009307263,0.004688576,3.38299E-05,76.03939466,0.551391822,21.68094562,0.15051934,4.807153784,0.04661029,0.177405822,0.001049431,0.008177778,8.39848E-05,2.271677235,0.058441029,29.87924421,0.588648295,16.50515541,0.842251356,6.108808585,0.086692244,2.871049586,0,0
700,"248,263",477.2368045,4.658477729,0.012180743,4.19E-03,3.09584E-05,87.81982657,0.625650911,25.30889967,0.173097132,5.70270363,0.054655211,0.300992382,0.001535961,0.0141106,0.000172153,2.869764569,0.072794923,35.9602737,0.694368061,20.21086864,1.000186016,7.939733694,0.106816941,3.736320441,0,0
800,"232,996",530.1672872,6.129362155,0.014776983,5.42E-03,3.16707E-05,98.22558309,0.691682718,28.88812445,0.195123165,6.597079883,0.062676421,0.441221071,0.001987313,0.020575525,0.00026188,3.515206992,0.089084324,41.85481741,0.79398425,23.94641621,1.152527182,9.942433579,0.126583271,4.646799729,0,0
900,"219,379",580.5453943,7.904825331,0.017740961,1.15E-02,3.78889E-05,107.3134756,0.749401769,32.16749447,0.21476539,7.389284356,0.069404034,0.66311309,0.002589158,0.026614331,0.000313436,4.263584709,0.106682405,47.17778424,0.882116646,27.47976406,1.287316527,12.05277752,0.146897633,5.640528153,0,0
1000,"207,468",628.4521486,9.739575142,0.020537418,1.88E-02,4.43243E-05,115.7765711,0.802321201,35.60377766,0.23590929,8.245978367,0.076936202,0.91505973,0.003274112,0.037542135,0.000577665,4.886086763,0.121656564,52.24127216,0.964758488,30.86916062,1.415059067,14.22868165,0.166484767,6.662519471,0,0
1100,"196,469",674.2021942,11.7356568,0.02341955,3.64E-02,6.44695E-05,123.0988707,0.848922467,38.78057436,0.254638285,9.066152848,0.083634197,1.24702266,0.004001248,0.038359007,0.000599163,5.607851902,0.139261369,56.63772709,1.036447345,34.09400142,1.528152262,16.28712878,0.184644341,7.611934577,0,0
1200,"186,884",717.9711182,13.81762824,0.026218695,0.047024797,7.61347E-05,129.7186973,0.890107196,41.90812907,0.273947678,9.946910118,0.091334699,1.626691415,0.004853237,0.047862727,0.000750698,6.428381128,0.158318388,60.7739573,1.10139335,37.09162924,1.635230911,18.57133856,0.203771708,8.67434942,0,0
1300,"178,173",759.9635001,15.96973366,0.029011561,0.078694074,0.000104872,135.4224912,0.925939386,44.61394595,0.290277867,10.875475,0.099015653,2.131428488,0.005974306,0.048886597,0.000756786,7.280814395,0.177915201,64.43821061,1.157274592,39.81978722,1.726697675,20.83632903,0.221745968,9.689137302,0,0
1400,"170,398",800.3564893,18.22021376,0.0317339,0.109858094,0.000131692,140.526295,0.95709786,47.23492621,0.30582121,11.68306123,0.105657458,2.6764963,0.007125428,0.05933144,0.000882012,8.103887286,0.197017289,68.01808525,1.208167527,42.43734229,1.810780844,23.07029398,0.239264315,10.72668764,0,0
1500,"163,297",839.1426491,20.34635999,0.034121381,0.143666527,0.000156777,144.9419922,0.984727439,49.64968898,0.320734587,12.51718437,0.112168003,3.340860113,0.008591835,0.068972696,0.000984121,8.999181138,0.218094238,71.20528179,1.253204521,44.89484638,1.888814886,25.26075965,0.254885764,11.72281296,0,0
1600,"156,881",876.7499315,22.71426017,0.036704215,0.200763856,0.000201632,149.1419571,1.01028328,52.11853465,0.33622951,13.18698444,0.117356418,4.066905783,0.010014379,0.076035614,0.001059056,9.920906356,0.239404749,74.23798109,1.29476169,47.25628734,1.962160152,27.38062354,0.270273597,12.66616996,0,0
1700,"150,970",913.0492358,25.02056073,0.03911797,0.256213777,0.000246406,152.7964102,1.032887518,54.4383103,0.350081925,13.92456036,0.123159027,4.940021407,0.01166668,0.084169003,0.001120373,10.9531319,0.262897538,76.95223159,1.330460857,49.36525971,2.026494573,29.439487,0.285484005,13.60201824,0,0
1800,"145,672",948.1633449,27.30300082,0.041409399,0.319454761,0.000293959,156.1269432,1.054567084,56.79757458,0.364562398,14.73624368,0.129706107,5.773856007,0.013266352,0.096203851,0.001282031,11.94351026,0.286949824,79.62858136,1.36567571,51.48352627,2.089275249,31.57690885,0.300029581,14.61705857,0,0
1900,"140,591",982.2816777,29.70392018,0.043648307,0.398065882,0.000344085,159.3196958,1.074734234,58.79196285,0.377115936,15.48957871,0.135742785,6.634251609,0.01486872,0.10003462,0.00134519,12.84749187,0.308021548,82.20150164,1.396641427,53.44214961,2.146354859,33.52087796,0.312992268,15.54460359,0,0
2000,"136,017",1015.3979,32.11104272,0.045941967,0.475015002,0.000396635,162.3265659,1.093064242,60.86283554,0.389771943,16.152582,0.141001375,7.698374457,0.016901527,0.107832963,0.001408505,13.86332027,0.331213057,84.59050387,1.425335922,55.35057223,2.199769295,35.60906268,0.326338002,16.51074809,0,0
2100,"131,693",1047.478891,34.39811724,0.047971789,0.590618686,0.000464292,165.0721797,1.110425977,62.76085764,0.401206398,16.79390047,0.145847702,8.638122549,0.018618499,0.13643926,0.001665133,14.72701181,0.350682587,86.92372232,1.451642305,57.10582781,2.250921213,37.60948623,0.339023003,17.49112024,0,0
2200,"127,663",1078.602206,36.57825078,0.049875795,0.758164736,0.000567015,167.5137188,1.125987661,64.59668452,0.412919944,17.48546876,0.151218761,9.67987658,0.020531922,0.143457532,0.001732218,15.6533871,0.37089737,89.2714532,1.475411774,58.87817322,2.299046477,39.51113024,0.351200253,18.43958462,0,0
2300,"123,886",1108.928259,38.81090815,0.051682252,0.886675073,0.000640622,169.7546975,1.139903625,66.38874901,0.423599083,18.13045568,0.156489736,10.68681777,0.022352559,0.159839773,0.001927633,16.62542243,0.392105667,91.70947109,1.49814818,60.59931015,2.344690942,41.4426156,0.363299993,19.36227088,0,0
